yahoo_symbol,fund_name,Years,CAGR_Yield,Trend_Slope,Trend_R_Squared,Consistency_CV,Max_Consecutive_Increases,Avg_YoY_Growth,Recent_Trend_Slope
0P00005UY6.BO,UTI Low Duration Fund - Discontinued - Quarterly Dividend Option,10,,-0.1892727272727273,0.2684496408429124,137.87926000426827,1,,0.0
0P00005UY7.BO,UTI Low Duration Fund - Discontinued Growth Option,10,,0.0,,,0,,0.0
0P00005UY8.BO,UTI Low Duration Fund - Regular Plan - Bonus Option,10,,0.0,,,0,,0.0
0P00005UY9.BO,UTI Medium to Long Duration Fund - Regular Plan - Quarterly IDCW,10,,-0.12254545454545453,0.07081017899830283,167.01333704083444,1,,0.0
0P00005UYA.BO,UTI Medium to Long Duration Fund- Regular Plan - Growth,10,,0.0,,,0,,0.0
0P00005UYB.BO,UTI Children's Hybrid Fund - Regular Plan,10,,0.0,,,0,,0.0
0P00005UYC.BO,UTI Children's Equity Fund - Regular Plan - IDCW,10,,0.0,,,0,,0.0
0P00005UYD.BO,UTI Children's Equity Fund - Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UYE.BO,UTI Dividend Yield Fund - Regular Plan - IDCW,10,,-0.6616969696969698,0.6168144793600376,69.02349218740522,1,,-1.315
0P00005UYF.BO,UTI-Dividend Yield Fund.-Growth,10,,0.0,,,0,,0.0
0P00005UYI.BO,UTI Flexi Cap Fund - Regular Plan - IDCW,10,,-0.2532727272727273,0.2698101045902573,100.10795312035366,2,,0.0
0P00005UYJ.BO,UTI - Flexi Cap Fund-Growth Option,10,,0.0,,,0,,0.0
0P00005UYK.BO,UTI ELSS Tax Saver Fund - Regular Plan - IDCW,10,,-0.3604848484848485,0.0927934384987463,202.80625319853937,1,,0.0
0P00005UYL.BO,UTI ELSS Tax Saver Fund - Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UYQ.BO,UTI Ultra Short Duration Fund - Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UYU.BO,UTI Overnight Fund - Regular Plan - Periodic IDCW,10,,-0.29969696969696974,0.7774629945575102,102.01347104184752,1,,0.0
0P00005UYV.BO,UTI - Overnight  Fund - Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UYZ.BO,UTI Healthcare Fund - Regular Plan - IDCW,10,,0.0,,,0,,0.0
0P00005UZ0.BO,UTI Healthcare Fund - Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UZE.BO,UTI Large Cap Fund - Regular Plan - IDCW,10,,-0.29424242424242425,0.09685630236132918,97.36879770916416,2,,-1.465
0P00005UZF.BO,UTI Large Cap Fund - Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UZG.BO,UTI MNC Fund - Regular Plan - IDCW,10,,-0.10030303030303032,0.08417508417508422,299.99999999999994,1,,0.0
0P00005UZH.BO,UTI - MNC Fund - Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UZJ.BO,UTI MMF-Discontinued - Regular Plan -Growth,10,,0.0,,,0,,0.0
0P00005UZN.BO,UTI Retirement Fund - Regular Plan,10,,0.0,,,0,,0.0
0P00005UZO.BO,UTI Value Fund - Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UZP.BO,UTI Value Fund - Regular Plan - IDCW,10,,-0.41612121212121206,0.2697514098418215,200.10923293034168,2,,0.0
0P00005UZR.BO,UTI Transportation and Logistics Fund - Regular Plan - IDCW,10,,0.0,,,0,,0.0
0P00005UZS.BO,UTI-Transportation and Logistics  Fund-Growth Option,10,,0.0,,,0,,0.0
0P00005UZT.BO,UTI Banking and Financial Services Fund - Regular Plan - Growth Option,10,,0.0,,,0,,0.0
